Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Chronologic Counterexample,chronologic-counterexample,...,,https://www.hackerearth.com/problem/algorithm/chronologic-counterexample/,Hackerearth,                    ,,
Amplification Battle,amplification-battle,...,,https://www.hackerearth.com/problem/algorithm/amplification-battle/,Hackerearth,"                    Game Theory, Algorithms, Easy-Medium",,
Childfree Time,childfree-time-1,...,,https://www.hackerearth.com/problem/algorithm/childfree-time-1/,Hackerearth,                    ,,
Mittal wants to go to play!,mittal-wants-to-go-to-play,...,,https://www.hackerearth.com/problem/algorithm/mittal-wants-to-go-to-play/,Hackerearth,                    ,,
Monk and the Islands,monk-and-the-islands,...,,https://www.hackerearth.com/problem/algorithm/monk-and-the-islands/,Hackerearth,"                    Easy, BFS, Graph Theory",,
Monk's Business Day ,monks-business-day,...,,https://www.hackerearth.com/problem/algorithm/monks-business-day/,Hackerearth,"                    Medium, Graph Theory, Bellman Ford",,
Monk in the Secret Services,monk-in-the-secret-services,...,,https://www.hackerearth.com/problem/algorithm/monk-in-the-secret-services/,Hackerearth,"                    Graph Theory, Shortest-path, Easy-Medium",,
Isola,isola,...,,https://www.hackerearth.com/problem/multiplayer/isola/,Hackerearth,                    ,,
Mr. President,mr-president,...,,https://www.hackerearth.com/problem/algorithm/mr-president/,Hackerearth,                    ,,
Candy distribution,candy-distribution,...,,https://www.hackerearth.com/problem/algorithm/candy-distribution/,Hackerearth,                    ,,
Feasible relations,feasible-relations,...,,https://www.hackerearth.com/problem/algorithm/feasible-relations/,Hackerearth,                    ,,
Where is Checkerboard,where-is-checkerboard,...,,https://www.hackerearth.com/problem/algorithm/where-is-checkerboard/,Hackerearth,                    ,,
Illegible string,illegible-string,...,,https://www.hackerearth.com/problem/algorithm/illegible-string/,Hackerearth,                    ,,
The maze runner,the-maze-runner,...,,https://www.hackerearth.com/problem/algorithm/the-maze-runner/,Hackerearth,                    ,,
Aqua park,aqua-park,...,,https://www.hackerearth.com/problem/algorithm/aqua-park/,Hackerearth,                    ,,
Integers only allowed,integers-only-allowed,...,,https://www.hackerearth.com/problem/algorithm/integers-only-allowed/,Hackerearth,                    ,,
Guess the triangle,guess-the-triangle,...,,https://www.hackerearth.com/problem/algorithm/guess-the-triangle/,Hackerearth,                    ,,
Buy Me Some Coke,buy-me-some-coke,...,,https://www.hackerearth.com/problem/algorithm/buy-me-some-coke/,Hackerearth,                    ,,
Decreasing Paths,decreasing-paths,...,,https://www.hackerearth.com/problem/algorithm/decreasing-paths/,Hackerearth,"                    Dynamic Programming, Math, Graph Theory, Recursion",,
